french,fongbe,labels
"Avec plaisir, je t’accompagne.","Kpodo xomɛhunhun kpo ɔ, un na xwedó we.",positive
Bon anniversaire à toi.,Azan ɖagbe we.,positive
Je suis là si besoin.,Un ɖo fi nu a ɖo hudo ce ɔ.,neutral
Profite bien de tes vacances.,Mi ɖu gbɔjɛ mitɔn sín vivǐ.,positive
aire trente minutes d’exercice par jour améliore la santé.,Cɛjú gban mɔ̌ e è nɔ bló ɖò kéze ɖokpo mɛ é nɔ zɔ́n bɔ lanmɛ nɔ ganji nɔ kpɔ́n te.,positive
Bien dormir aide à renforcer le système immunitaire.,Amlɔ didó ganji nɔ d’alɔ bɔ agbaza mɛtɔn nɔ ɖí xwi xá azɔn.,positive
Mangez cinq fruits et légumes quotidiennement.,Mi nɔ ɖu atín sínsɛ́n kpo ama kpo atɔ́ɔ́n ayihɔngbe ayihɔngbe.,neutral
L’hydratation régulière est essentielle pour le corps.,Nǔ e ɖò taji nú agbaza ɔ é wɛ nyí ɖɔ è ni nɔ na sìn hwɛhwɛ.,positive
Réduire le stress protège votre cœur.,"Enyi a ɖè linkpɔ́n kpò ɔ, é nɔ cyɔn alɔ ayi towe jí.",positive
Consultez un médecin en cas de symptômes persistants.,"Enyi azɔn ɔ sín wuntun lɛ kpó ɖò te hǔn, yì ba dotóo kpɔ́n.",negative
Le lavage des mains évite la propagation des virus.,Alɔ klɔ́ nɔ zɔ́n bɔ azɔnkwín lɛ nɔ gbakpé ǎ.,positive
Une posture correcte prévient les douleurs dorsales.,Nǔ e sɔgbe é nɔ zɔ́n bɔ akɔ́n nɔ vɛ́ mɛ ǎ.,positive
La méditation réduit l’anxiété et améliore le moral.,"Linlin dó nǔ jí nɔ ɖè adohu adohu kpò, bo nɔ lɛ́ zɔ́n bɔ è nɔ ɖó ayixa ɖagbe.",positive
Évitez le tabac pour préserver vos poumons.,Nɔ nyì alɔ nú azɔ bo na dó cyɔn alɔ fɔngɔ́ towe jí.,negative
Limitez votre consommation d’alcool.,Ðǒ dogbó nú ahan nunu.,negative
Pratiquer un sport diminue les risques cardiovasculaires.,Lɔnyiji-lɔnfɔ́nkan nɔ ɖè awě e nɔ xò ayi kpo kanjɔ kpo lɛ é kpò.,positive
Prenez soin de vos dents avec un brossage régulier.,Mi nɔ kpé nukún dó aɖu mitɔn lɛ wu kpo aɖu mitɔn lɛ xixo hwɛhwɛ kpo.,positive
L’exposition au soleil fournit de la vitamine D.,Hwesivɔ nɔ na vitamine D mɛ.,positive
Variez votre alimentation pour couvrir tous les besoins.,Nɔ ɖyɔ nǔɖuɖu towe bonu é na kpé hudo towe lɛ bǐ wu.,positive
Faire des pauses prévient l’épuisement professionnel.,Gbɔjɛyiyi nɔ zɔ́n bɔ è nɔ gɔn nǔ ɖu.,positive
Le rire a des effets bénéfiques sur la santé.,Nǔkiko nɔ wà ɖagbe nú lanmɛ na nɔ ganji.,positive
Maintenez un poids équilibré grâce à une bonne hygiène de vie.,Hɛn zɛ̌nzɛ̌n towe ɖó jlɛ̌ jí gbɔn gbɛzán ɖagbe ɖé zinzan gblamɛ.,positive
Aérez votre logement chaque jour pour un air sain.,Mi nɔ bló bɔ jɔhɔn nɔ gbɔn xwé mitɔn gbè ayihɔngbe ayihɔngbe bonu jɔhɔn ɖagbe ni nɔ tɔ́n.,positive
Les protéines sont importantes pour la masse musculaire.,Protéines lɛ ɖò taji nú kanlin lɛ.,positive
La santé mentale est aussi importante que la santé physique.,Lanmɛ na nɔ ganji ayi mɛ tɔn ɖò taji lee lanmɛ na nɔ ganji agbaza tɔn ɖò taji gbɔn é ɖɔhun.,neutral
Écoutez votre corps et reposez-vous quand nécessaire.,Ðǒtó agbaza towe bo gbɔjɛ hwenu e é byɔ ɖó é.,positive
Le petit-déjeuner donne de l’énergie pour la journée.,Zǎnzǎn nùɖuɖu nɔ na hlɔnhlɔn mɛ ɖò azǎn ɔ jí.,positive
Trop de sel augmente la tension artérielle.,Jɛ gègě nɔ zɔ́n bɔ hun nɔ syɛn d’eji.,negative
Les oméga-3 sont bons pour le cerveau.,Omega-3 lɛ nɔ nyɔ́ nú taglomɛ.,positive
Faire du renforcement musculaire protège les articulations.,Hlɔnhlɔn kplɔnkplɔn nɔ cyɔn alɔ xú lɛ jí.,positive
Privilégiez les aliments non transformés.,Cyan nǔɖuɖu e è ma ko ɖa ǎ lɛ é.,negative
Un bon sommeil améliore la mémoire et la concentration.,"Amlɔ didó ganji nɔ zɔ́n bɔ è nɔ flín nǔ ganji, bo nɔ lɛ́ sɔ́ ayi ɖó nǔ jí ganji.",positive
Pratiquer la gratitude augmente le bien-être général.,Nǔsumɛnukúnmɛ kpinkplɔn nɔ zɔ́n bɔ lanmɛ nɔ ganji mɛ bǐ tɔn nɔ jɛji.,positive
Prenez soin de vous au quotidien.,Kpé nukún dó hwiɖée wu ayihɔngbe ayihɔngbe.,neutral
étudions votre proposition commerciale avec attention.,Mǐ na kplɔ́n nǔ dó ajɔ̌ e a lin é wu ganji.,neutral
Pouvez-vous nous faire parvenir un devis détaillé ?,A sixu sɛ́ xójlawema ɖé dó mǐ tlítlí à?,neutral
Le paiement s’effectue sous trente jours fin de mois.,Azǎn gban ɖò sun ɔ sín vivɔnu wɛ è ɖó na sú.,neutral
Nous vous remercions de votre confiance et de votre fidélité.,È na cɛ nu mi nu jiɖe mitɔn kpodo gbejininɔ mitɔn kpo.,positive
Votre commande est en cours de préparation.,È ɖò nǔ e a sɛ́dó é sɔnǔ na wɛ.,neutral
Nos tarifs sont dégressifs selon les quantités commandées.,Akwɛ mǐtɔn lɛ nɔ jɛ dò sɔgbe xá nǔ nabi e è sɛ́dó mɛ é.,negative
Je vous prie de trouver ci-joint notre catalogue.,Mi kɛnklɛn bo mɔ wema mǐtɔn e è tɛ́ dó wema ɔ wu é.,positive
Souhaitez-vous une livraison express ou standard ?,A ka jló ɖɔ è ni sɛ́ nǔ dó we tlolo alǒ è ni sɛ́ nǔ dó we ɖò aca mɛ à?,neutral
Nous accusons réception de votre règlement.,Mǐ yí gbè ɖɔ mǐ yí akwɛ e a sú é.,positive
Le délai de livraison est de cinq jours ouvrés.,Hwenu e è na sɛ́ nǔ ɔ dó mɛ é wɛ nyí azɔ̌zán atɔ́ɔ́n.,neutral
Notre équipe commerciale reste à votre disposition.,Gbɛ̌ta nǔsatɔ́ mǐtɔn tɔn kpó ɖò alɔ towe mɛ.,positive
Veuillez agréer nos salutations distinguées.,Mi kɛnklɛn bo yí gbedómɛ mǐtɔn mɛ nukúnɖeji lɛ.,positive
Nous accusons réception de votre commande.,Mǐ yí gbè ɖɔ mǐ yí nǔ e a sɛ́dó mǐ é.,positive
Cette offre est valable jusqu’au 31 mars.,Nǔ e è xwlé mɛ é enɛ na nɔ ayǐ kaka jɛ azǎn 31gɔ́ Woosun tɔn gbè.,positive
Nous vous accordons une remise exceptionnelle de 5 %.,Mi ɖo ɖiɖe 5% tɔn ɖekpo wɛ nu mi.,positive
Votre dossier a bien été transmis à notre service.,È sɛ́ wema towe dó azɔ̌xɔsa mǐtɔn ganji.,positive
Merci de confirmer votre disponibilité par retour.,Mi kɛnklɛn bo ɖexlɛ́ ɖɔ emi ɖò finɛ gbɔn xósin nina gblamɛ.,positive
Nous vous remercions pour votre courrier du 12 février.,Mi do ku nu wema mitɔn 12 février tɔn.,positive
Le colis a été expédié ce jour en chronopost.,È sɛ́ agban ɔ dó égbé gbɔn Chronopost jí.,neutral
Nous restons à votre écoute pour tout complément.,Mǐ kpó ɖò gbesisɔmɛ bo na na xósin nú nǔkanbyɔ ɖevo ɖebǔ e a sixu ɖó é.,positive
Nous ne proposons pas ce produit en stock.,Mǐ ɖó nǔ enɛ ɖò ayǐ ǎ.,negative
Votre facture proforma est disponible en téléchargement.,"Facture pro forma towe ɔ, è sixu yí.",neutral
Nous vous prions de bien vouloir nous excuser.,Mi do kɛnklɛn nu nu e jɛ ɔ.,positive
La livraison est offerte à partir de 100 euros.,È nɔ sɛ́ nǔ dó mɛ vɔ̌nu nú mɛ e xɔ akwɛ hú euro 100 lɛ é.,neutral
Nous vous rappelons notre rendez-vous de demain.,Mi ɖo flin mi wɛ hwenu e mi ɖo sɔ e.,neutral
Ce modèle rencontre un vif succès actuellement.,Kpɔ́ndéwú enɛ ɖò ɖuɖeji ɖaxó ɖé ɖu wɛ dìn.,positive
Nous pouvons vous proposer une alternative similaire.,Mǐ sixu xwlé we nǔ mɔhun ɖevo.,positive
Merci de nous indiquer vos disponibilités pour un entretien.,Mi kɛnklɛn bo ɖɔ nú mǐ ɖɔ emi ɖò gbesisɔmɛ bo na kàn nǔ byɔ mǐ.,positive
"L'activité physique régulière renforce non seulement le système cardiovasculaire, mais elle améliore également l'humeur en libérant des endorphines.","Enyi è nɔ bló agbazazɔ́ hwɛhwɛ ɔ, é nɔ hɛn ayi mɛtɔn lidǒ kɛɖɛ ǎ, loɔ, é nɔ lɛ́ zɔ́n bɔ è nɔ ɖó ayixa ɖagbe gbɔn nǔ e nɔ nyí endorphines é sísɔ́ tɔ́n gblamɛ.",positive
"Une alimentation équilibrée, riche en fruits et légumes frais, fournit les vitamines essentielles pour renforcer durablement notre système immunitaire.","Nuɖuɖu e ɖò jlɛ̌ jí é ɖé, ee mɛ atín sínsɛ́n kpo ama kpo e è ma ko ɖa ǎ lɛ é sukpɔ́ ɖè é nɔ na vitamine taji e nɔ hɛn agbaza mǐtɔn lidǒ kaka sɔyi lɛ é.",positive
Dormir sept à huit heures par nuit est crucial pour la consolidation de la mémoire et la régénération cellulaire.,Amlɔ didó nú ganxixo tɛnwe jɛ tantɔn ɖò zǎn ɖokpo mɛ ɖò taji nú nǔ e è nɔ flín lɛ é ɖiɖó syɛnsyɛn kpo nǔ e ɖò hǔn mɛ lɛ é sín hlɔnhlɔn ɖiɖó kpo.,positive
La gestion du stress par la méditation ou la respiration profonde peut significativement réduire le risque de maladies chroniques.,"Enyi è ɖu ɖò adohu adohu jí gbɔn tamɛ linlin alǒ gbɔjɛ syɛnsyɛn gblamɛ ɔ, é sixu ɖè azɔn e ma nɔ gbɔ ǎ lɛ é sín afɔku kpò tawun.",positive
L'hydratation quotidienne est primordiale : boire suffisamment d'eau aide à maintenir une peau saine et favorise la digestion.,"Sin ɖiɖó ayihɔngbe ayihɔngbe ɖò taji: sin nunu sukpɔ́ nɔ d’alɔ bɔ agbaza nɔ ɖò ganji, bo nɔ lɛ́ zɔ́n bɔ nǔɖuɖu nɔ ɖu ganji.",positive
Consulter régulièrement son médecin traitant permet de détecter précocement d'éventuelles pathologies et d'adapter son hygiène de vie.,"Enyi a nɔ yì ba dotóo towe kpɔ́n hwɛhwɛ ɔ, é nɔ zɔ́n bɔ a nɔ yawu tuùn azɔn ɖěɖee sixu dɔn azɔn wá nú we lɛ é, bo nɔ lɛ́ ɖyɔ gbɛzán towe.",positive
Prendre soin de sa santé mentale est aussi important que soigner son corps ; parler de ses émotions aide à prévenir l'épuisement.,Kpɔ́n dó lanmɛ towe wu ɖò taji lee agbaza towe kpinkpɔn ɖò taji gbɔn é ɖɔhun; xóɖiɖɔ dó lee nǔ cí nú we é jí nɔ d’alɔ bɔ è nɔ gɔn nǔ ɖu.,positive
Réduire sa consommation de sel et de sucres ajoutés diminue les risques d'hypertension artérielle et de diabète de type 2.,"Enyi a ɖè jɛ̌ kpo suklé e è sɔ́ dó mɛ é kpo kpò ɔ, é nɔ ɖè hunxixo kpo aɖɔwé alɔkpa 2gɔ́ ɔ kpo sín afɔku kpò.",negative
Protéger sa peau des rayons ultraviolets avec une crème solaire adaptée prévient le vieillissement cutané et certains cancers.,"Enyi a sɔ́ nǔ e jɛxa é dó cyɔn alɔ agbaza towe jí sín weziza ultraviolet tɔn lɛ sí ɔ, é nɔ zɔ́n bɔ agbaza towe nɔ kpò ǎ, bɔ kansɛ́ɛzɔn ɖé lɛ nɔ lɛ́ jɛ ǎ.",positive
"La pratique du yoga combine exercices physiques et relaxation, offrant un bienfait global pour le corps et l'esprit.","Yoga wiwa nɔ xò agbazazɔ́wiwa kpo gbɔjɛyiyi kpo kplé, bo nɔ hɛn lè ɖé wá nú agbaza kpo ayixa kpo ɖò bǐbɛ̌mɛ.",positive
Éviter le tabac et limiter la consommation d'alcool sont deux décisions majeures pour préserver ses fonctions hépatiques et respiratoires.,Gbeta taji wè e kɔn è na wá bo na dó hɛn akɔ́n kpo adɔ kpo ɖó te é wɛ nyí ɖɔ è ni nyì alɔ nú azɔ nunu kpo ahan syɛnsyɛn nunu kpo.,positive
Maintenir des liens sociaux forts et des interactions positives retarde le déclin cognitif et augmente l'espérance de vie.,"Enyi è hɛn kancica syɛnsyɛn e ɖò gbɛtɔ́ lɛ tɛntin é kpo kancica ɖagbe lɛ kpo ɖó te ɔ, é nɔ zɔ́n bɔ nǔwukpikpé tamɛ linlin tɔn nɔ gɔn ɖiɖekpo, bo nɔ lɛ́ zɔ́n bɔ gbɛtɔ́ lɛ nɔ nɔ gbɛ̀ nú táan gegě.",positive
Se brosser les dents deux fois par jour et utiliser du fil dentaire prévient les caries et les maladies parodontales.,"Aɖu klɔ́ azɔn wè ɖò kéze ɖokpo mɛ kpo aɖukún zinzan kpo nɔ zɔ́n bɔ aɖu lɛ nɔ xú ǎ, bɔ aɖu lɛ nɔ lɛ́ xú ǎ.",positive
Adopter une bonne posture assise évite les douleurs dorsales chroniques et préserve la santé de la colonne vertébrale.,"Enyi è nɔ jinjɔn ayi ganji ɔ, é nɔ zɔ́n bɔ è nɔ gɔn wuvɛ̌ sè ɖò akɔ́n mɛ kaka sɔyi, bo nɔ lɛ́ hɛn akɔ́n mɛtɔn ɖó ganji.",positive
"Exposer sa peau au soleil quinze minutes par jour favorise la synthèse de vitamine D, essentielle pour les os.","Enyi a nɔ sɔ́ agbaza towe ɖó hwesivɔ nu nú cɛju wǒ-atɔ́ɔ́n ɖò kéze ɖokpo mɛ ɔ, é nɔ zɔ́n bɔ vitamine D e ɖò taji nú xú lɛ é nɔ bló.",positive
Lire régulièrement ou faire des mots croisés stimule les connexions neuronales et maintient le cerveau en bonne santé.,"Nǔxixa hwɛhwɛ alǒ xógbe e è nɔ xò kplé lɛ é wiwa nɔ zɔ́n bɔ nǔ e ɖò hǔn mɛ lɛ é nɔ cá kàn, bo nɔ lɛ́ zɔ́n bɔ taglomɛ nɔ ɖò ganji.",positive
Pratiquer une activité en plein air améliore la capacité respiratoire et réduit les symptômes de l'anxiété légère.,"Enyi è nɔ wà nǔ ɖò kɔ́xota ɔ, é nɔ zɔ́n bɔ è nɔ gbɔjɛ ganji, bo nɔ lɛ́ ɖè adohu adohu kpɛɖé sín wuntun lɛ kpò.",positive
Écouter son corps et respecter ses signaux de fatigue permet d'éviter le surmenage et les blessures musculaires.,"Enyi a nɔ ɖótó agbaza towe bo nɔ lɛ́ ɖó sísí nú nǔ e nɔ xlɛ́ ɖɔ nǔ cikɔ nú we lɛ é ɔ, é nɔ d’alɔ bɔ a nɔ nyì alɔ nú azɔ̌wiwa zɛ xwé wu kpo xú towe lɛ kpo.",positive
Avoir une routine de soins adaptée à son type de peau préserve son élasticité et sa barrière protectrice naturelle.,"Enyi a ɖó tuto agbaza towe tɔn e sɔgbe xá agbaza towe é ɖé ɔ, é na hɛn hlɔnhlɔn tɔn kpo nǔ e nɔ cyɔn alɔ agbaza jí é kpo ɖó te.",positive
La prévention bucco-dentaire passe aussi par un détartrage annuel chez le chirurgien-dentiste.,Aɖuzɔnnɔ ɖé nɔ lɛ́ klɔ́ aɖu lɛ xwewu xwewu.,neutral
Varier son alimentation en incluant des protéines maigres et des céréales complètes assure un apport énergétique stable.,"Enyi a nɔ ɖyɔ nǔɖuɖu towe gbɔn proteine e mɛ è ma nɔ mɔ nǔ ɖu ɖè ǎ lɛ é kpo nǔkún-yiya sín nǔ lɛ kpo gblamɛ ɔ, é nɔ zɔ́n bɔ a nɔ mɔ hlɔnhlɔn ganji.",positive
Le rire et les émotions positives renforcent le système immunitaire et diminuent la perception de la douleur.,"Nǔkiko kpo linlin ɖagbe lɛ kpo nɔ hɛn agbaza mɛtɔn lidǒ, bo nɔ lɛ́ ɖè lee è nɔ mɔ wuvɛ̌ gbɔn é kpò.",positive
Éviter les écrans au moins une heure avant le coucher améliore la qualité du sommeil et facilite l'endormissement.,"Enyi è nyì alɔ nú nǔ e è nɔ kpɔ́n ɖò televiziɔn jí lɛ é nú ganxixo ɖokpo mɔ̌ cobo yì mlɔ́ ayǐ ɔ, é nɔ zɔ́n bɔ è nɔ dɔ́ amlɔ ganji, bɔ amlɔ nɔ lɛ́ bɔwǔ nú mɛ.",positive
Se laver les mains régulièrement avec du savon reste le geste le plus efficace contre la propagation des virus.,Alɔ klɔ́ hwɛhwɛ kpo aɖǐ kpo kpó ɖò ali ɖagbe hugǎn e nu è na bló bɔ azɔnkwín lɛ ma na gbakpé ǎ é nyí wɛ.,positive
Intégrer des exercices de renforcement musculaire dans sa semaine prévient la perte de masse osseuse liée à l'âge.,"Enyi a nɔ sɔ́ agbazazɔ́ e nɔ hɛn agbaza lidǒ lɛ é dó aklunɔzán gbla towe mɛ ɔ, é nɔ zɔ́n bɔ xú lɛ nɔ xú ɖó mɛxoxwe wu ǎ.",negative
Une mastication lente et consciente favorise une meilleure digestion et régule naturellement l'appétit.,"Nuɖuɖu ɖu ɖɛɖɛ kpo ayixa kpo nɔ zɔ́n bɔ nǔɖuɖu nɔ ɖu ganji, bo nɔ lɛ́ bló bɔ nǔɖuɖu nɔ jló mɛ ɖò jɔwamɔ linu.",positive
Le suivi ophtalmologique régulier permet de corriger les troubles visuels et de dépister certaines maladies silencieuses.,"Nú è nɔ kpɔ́n nukúnmɛ hwɛhwɛ ɔ, é nɔ d’alɔ bɔ è nɔ jla nǔ e nɔ zɔ́n bɔ è nɔ mɔ nǔ ganji ǎ lɛ é ɖó, bo nɔ lɛ́ tuùn azɔn ɖé lɛ e nɔ ɖò cícící wɛ lɛ é.",positive
Cultiver un hobby créatif comme la peinture ou le jardinage réduit le cortisol et augmente la sensation de bien-être.,"Enyi è nɔ kplɔ́n nǔ dó ayiɖeɖayi nǔɖiɖó tɔn ɖé wu ɖi nǔ ɖiɖe alǒ jikpámɛzɔ́ ɔ, é nɔ ɖè cortisol kpò, bo nɔ lɛ́ zɔ́n bɔ è nɔ mɔ ɖɔ emi ɖò ganji.",positive
Limiter les aliments ultra-transformés au profit de produits bruts diminue l'exposition aux additifs chimiques.,"Enyi è ɖó dogbó nú nǔɖuɖu e è bló bɔ ye syɛn tawun lɛ é bo sɔ́ dó ɖu nǔ e è ma ko ɖa ǎ lɛ é ɔ, é nɔ ɖè nǔ e è nɔ sɔ́ dó bló nǔɖuɖu na lɛ é kpò.",negative
"La marche quotidienne, même modérée, est un excellent moyen de maintenir sa mobilité articulaire et son endurance.","Zɔnlin ɖiɖi ayihɔngbe ayihɔngbe, é na bo tlɛ nyí ɖò bǎ ɖé mɛ ɔ, ali ɖagbe ɖé wɛ é nyí bɔ è na gbɔn bo hɛn xú lɛ ɖó te bo lɛ́ dɛ.",positive
’ai le cafard.,Un ɖò wuvɛ̌ sè wɛ.,negative
Je suis crevé.,Nǔ cikɔ nú mì.,negative
J’ai la frite.,Un ɖò ganji.,negative
Ça me stresse.,É nɔ dó adohu adohu nú mì.,negative
Je suis en forme.,Un ɖò ganji.,positive
J’ai la patate.,Xomɛ hun mì bǐ.,negative
Je suis à plat.,Nǔ cikɔ nú mì.,neutral
Ça me soûle.,É ɖò xomɛsin dó nú mì wɛ.,negative
J’ai le bourdon.,Un ɖò wuvɛ̌ sè wɛ.,negative
Je suis épuisé.,Nǔ cikɔ nú mì.,negative
Ça me gonfle.,É ɖò xomɛsin dó nú mì wɛ.,negative
J’ai la pêche.,Un ɖò ganji.,positive
Je suis vidé.,Nǔ cikɔ nú mì.,negative
Ça m’angoisse.,É nɔ dó adohu adohu nú mì.,negative
Je suis bien.,Un ɖò ganjí.,positive
J’ai le moral.,Un ɖo ayi ɖagbe mɛ.,positive
Je suis nerveux.,Xɛsi ɖo ɖiɖi mi wɛ.,negative
Ça me détend.,É nɔ fá kɔ nú mì.,negative
J’ai les boules.,Xɛsi ɖi mi.,negative
Je suis serein.,Un fá xomɛ.,positive
J’ai chaud.,Un ɖo zozo.,positive
Je suis angoissé.,Un ɖò adohu adohu jí.,negative
Ça me rend triste.,É nɔ dó aluwɛ mɛ nú mì.,negative
Je suis impatient.,Un ɖo te kpɔn e.,negative
J’ai faim.,Xovɛ sin mi.,negative
Je suis ravi.,Xomɛ hun mì tawun.,positive
Ça me réjouit.,Enɛ nɔ dó awǎjijɛ nú mì.,positive
Je suis en colère.,Xomɛ sin mì.,negative
J’ai soif.,Kɔ xú mì.,negative
Je suis sereine.,Un ɖo fífá mɛ.,positive
La négociation commerciale exige une écoute active et une parfaite connaissance du produit pour convaincre durablement.,"Nǔ e è nɔ ɖɔ dó ajɔ̌wiwa wu é nɔ byɔ ɖɔ è ni ɖótó mɛ kpo kanɖodonǔwu kpo, bo lɛ́ tuùn nǔ e è sà é ganji cobo na dó sixu bló bɔ mɛ lɛ na yí gbè nú nǔ ɔ ɖò nukɔnmɛ.",positive
"Pour fidéliser un client, privilégiez toujours la transparence et un service après-vente réactif et de qualité.","Bo na dó hɛn axisinɔ ɖé ɖó te ɔ, nɔ sɔ́ nǔ e ɖò wɛn lɛ é kpo azɔ̌ e è nɔ wà ɖò nǔxixa gudo é kpo ɖó tɛn nukɔntɔn mɛ hwebǐnu.",positive
L'analyse des données clients permet d’anticiper leurs besoins et de personnaliser efficacement les offres commerciales.,"Nǔ e axisinɔ lɛ ɖɔ lɛ é gbígbéjé kpɔ́n nɔ zɔ́n bɔ è nɔ tuùn hudo yetɔn lɛ jɛ nukɔn, bo nɔ lɛ́ bló bɔ nǔ e è nɔ xwlé mɛ lɛ é nɔ sɔgbe xá mɛɖesunɔ.",positive
"Un commercial performant ne vend pas un produit, mais propose une solution concrète à un problème spécifique.","Nǔsatɔ́ e nɔ kpé nǔ wu é ɖé nɔ sà nǔ ǎ, loɔ, é nɔ na xósin tawun tawun ɖé nú tagba ɖé.",neutral
La prospection téléphonique reste un outil puissant lorsqu'elle est préparée minutieusement et adaptée à chaque interlocuteur.,"Nǔ ba kpɔ́n gbɔn alokan jí kpó ɖò azɔwanú hlɔnhlɔnnɔ ɖé nyí wɛ, enyi è sɔnǔ na ganji bo lɛ́ bló bɔ é sɔgbe xá mɛ ɖokpo ɖokpo ɔ nɛ.",positive
La signature électronique accélère considérablement le cycle de vente tout en garantissant la sécurité juridique.,"Alɔwliwli ɖò alokan jí nɔ zɔ́n bɔ nǔxixa ɔ nɔ yawu yì nukɔn tawun, bo nɔ lɛ́ zɔ́n bɔ è nɔ ɖó ayijayǐ ɖò sɛ́n linu.",positive
"Un bon contrat commercial définit clairement les livrables, les délais et les conditions de règlement pour éviter les litiges.","Akɔjijɛ ajɔ̌wiwa tɔn ɖagbe ɖé nɔ tinmɛ nǔ e è na sɛ́dó mɛ lɛ é, hwenu e è ɖó na fó azɔ̌ ɔ dó é kpo lee è na sú akwɛ gbɔn é kpo céɖécéɖé, bo na dó nyì alɔ nú jlɛɖiɖɔ.",positive
Le marketing d'influence est devenu un levier incontournable pour toucher une audience qualifiée et engagée.,Influencer marketing ko huzu azɔwanú taji ɖé bo na dó sixu yì mɛ e jɛxa bo lɛ́ ɖó jlǒ lɛ é gɔ́n.,positive
